,index,Year,HBR,HBRQF,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,InjuryLocation,InjuryLocationQF,InjuryType,InjuryTypeQF,NumberofDeaths
0,0,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,All,d,1629
1,1,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Land transport accidents,,198
2,2,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Poisoning,,508
3,3,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Falls,,705
4,4,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,"Struck by,against",,3
5,5,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Crushing,,1
6,6,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Scalds,,2
7,7,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Accidental exposure,,64
8,8,2012,S92000003,d,S92000003,d,All,d,All,d,All,d,Other,,148
9,963,2012,S08000015,,S12000008,,All,d,All,d,All,d,All,d,36
10,964,2012,S08000015,,S12000008,,All,d,All,d,All,d,Land transport accidents,,2
11,965,2012,S08000015,,S12000008,,All,d,All,d,All,d,Poisoning,,19
12,966,2012,S08000015,,S12000008,,All,d,All,d,All,d,Falls,,12
13,967,2012,S08000015,,S12000008,,All,d,All,d,All,d,"Struck by,against",,0
14,968,2012,S08000015,,S12000008,,All,d,All,d,All,d,Crushing,,0
15,969,2012,S08000015,,S12000008,,All,d,All,d,All,d,Scalds,,0
16,970,2012,S08000015,,S12000008,,All,d,All,d,All,d,Accidental exposure,,2
17,971,2012,S08000015,,S12000008,,All,d,All,d,All,d,Other,,1
18,1467,2012,S08000015,,S12000021,,All,d,All,d,All,d,All,d,38
19,1468,2012,S08000015,,S12000021,,All,d,All,d,All,d,Land transport accidents,,2
20,1469,2012,S08000015,,S12000021,,All,d,All,d,All,d,Poisoning,,21
21,1470,2012,S08000015,,S12000021,,All,d,All,d,All,d,Falls,,9
22,1471,2012,S08000015,,S12000021,,All,d,All,d,All,d,"Struck by,against",,0
23,1472,2012,S08000015,,S12000021,,All,d,All,d,All,d,Crushing,,0
24,1473,2012,S08000015,,S12000021,,All,d,All,d,All,d,Scalds,,0
25,1474,2012,S08000015,,S12000021,,All,d,All,d,All,d,Accidental exposure,,4
26,1475,2012,S08000015,,S12000021,,All,d,All,d,All,d,Other,,2
27,1953,2012,S08000015,,S12000028,,All,d,All,d,All,d,All,d,38
28,1954,2012,S08000015,,S12000028,,All,d,All,d,All,d,Land transport accidents,,4
29,1955,2012,S08000015,,S12000028,,All,d,All,d,All,d,Poisoning,,11
30,1956,2012,S08000015,,S12000028,,All,d,All,d,All,d,Falls,,17
31,1957,2012,S08000015,,S12000028,,All,d,All,d,All,d,"Struck by,against",,1
